100147	SubjectiveAssessmentAttribute	SUB	oewn-14519345-n
100148	SubjectiveAssessmentAttribute	SUB	oewn-14519564-n
100149	SubjectiveAssessmentAttribute	SUB	oewn-14519647-n
10015	SubjectiveAssessmentAttribute	SUB	oewn-00451502-r
100150	SubjectiveAssessmentAttribute	SUB	oewn-14519777-n
100151	SubjectiveAssessmentAttribute	SUB	oewn-14520035-n
100152	SubjectiveAssessmentAttribute	SUB	oewn-14520147-n
100153	SubjectiveAssessmentAttribute	SUB	oewn-14520294-n
100154	SubjectiveAssessmentAttribute	SUB	oewn-14520561-n
100155	SubjectiveAssessmentAttribute	SUB	oewn-14520704-n
100156	SubjectiveAssessmentAttribute	SUB	oewn-14520817-n
100157	SubjectiveAssessmentAttribute	SUB	oewn-14520949-n
100158	SubjectiveAssessmentAttribute	SUB	oewn-14521095-n
100159	SubjectiveAssessmentAttribute	SUB	oewn-14521263-n
10016	Removing	SUB	oewn-00451520-v
100160	SubjectiveAssessmentAttribute	SUB	oewn-14521347-n
100161	SubjectiveAssessmentAttribute	SUB	oewn-14521680-n
100162	Damaging	SUB	oewn-14521988-n
100163	SubjectiveAssessmentAttribute	SUB	oewn-14522151-n
100164	SubjectiveAssessmentAttribute	SUB	oewn-14522317-n
100165	SubjectiveAssessmentAttribute	SUB	oewn-14522427-n
100166	SubjectiveAssessmentAttribute	SUB	oewn-14522556-n
100167	SubjectiveAssessmentAttribute	SUB	oewn-14522695-n
100168	SubjectiveAssessmentAttribute	SUB	oewn-14522846-n
100169	SubjectiveAssessmentAttribute	SUB	oewn-14523178-n
100170	SubjectiveAssessmentAttribute	SUB	oewn-14523318-n
100171	SubjectiveAssessmentAttribute	SUB	oewn-14523537-n
100172	SubjectiveAssessmentAttribute	SUB	oewn-14523631-n
100173	SubjectiveAssessmentAttribute	SUB	oewn-14523925-n
100174	SubjectiveAssessmentAttribute	SUB	oewn-14524151-n
100175	SubjectiveAssessmentAttribute	SUB	oewn-14524403-n
100176	NormativeAttribute	SUB	oewn-14524492-n
100177	NormativeAttribute	SUB	oewn-14524756-n
100178	SubjectiveAssessmentAttribute	SUB	oewn-14524959-n
100179	SubjectiveAssessmentAttribute	SUB	oewn-14525129-n
10018	Removing	SUB	oewn-00451646-v
100180	NormativeAttribute	SUB	oewn-14525310-n
100181	DiseaseOrSyndrome	SUB	oewn-14526480-n
100182	NormativeAttribute	SUB	oewn-14526644-n
100183	DiseaseOrSyndrome	SUB	oewn-14526836-n
100184	DiseaseOrSyndrome	SUB	oewn-14526956-n
100185	PsychologicalDysfunction	SUB	oewn-14527130-n
100186	NormativeAttribute	SUB	oewn-14527267-n
100187	DiseaseOrSyndrome	SUB	oewn-14527592-n
100188	DiseaseOrSyndrome	SUB	oewn-14527705-n
100189	DiseaseOrSyndrome	SUB	oewn-14528007-n
10019	SubjectiveAssessmentAttribute	SUB	oewn-00451658-r
100190	DiseaseOrSyndrome	SUB	oewn-14528160-n
100191	SubjectiveAssessmentAttribute	SUB	oewn-14528328-n
100192	DiseaseOrSyndrome	SUB	oewn-14528491-n
100193	DiseaseOrSyndrome	SUB	oewn-14528671-n
100194	DiseaseOrSyndrome	SUB	oewn-14528817-n
100195	DiseaseOrSyndrome	SUB	oewn-14528966-n
100197	NormativeAttribute	SUB	oewn-14529269-n
100198	NormativeAttribute	SUB	oewn-14529423-n
100199	DiseaseOrSyndrome	SUB	oewn-14529622-n
1002	SubjectiveAssessmentAttribute	SUB	oewn-00054973-r
10020	Equitation	SUB	oewn-00451686-n
100200	Attribute	SUB	oewn-14529835-n
100200	DiseaseOrSyndrome	SUB	oewn-14529835-n
100201	DiseaseOrSyndrome	SUB	oewn-14530005-n
100202	DiseaseOrSyndrome	SUB	oewn-14530135-n
100203	DiseaseOrSyndrome	SUB	oewn-14530258-n
100204	Attribute	SUB	oewn-14530522-n
100205	PathologicProcess	SUB	oewn-14530652-n
100206	PathologicProcess	SUB	oewn-14530750-n
100207	DiseaseOrSyndrome	SUB	oewn-14530977-n
100208	DiseaseOrSyndrome	SUB	oewn-14531253-n
100209	DiseaseOrSyndrome	SUB	oewn-14531389-n
100210	BiologicalAttribute	SUB	oewn-14531553-n
100211	DiseaseOrSyndrome	SUB	oewn-14531751-n
100212	Closing	SUB	oewn-14531970-n
100213	DiseaseOrSyndrome	SUB	oewn-14532180-n
100214	DiseaseOrSyndrome	SUB	oewn-14532401-n
100215	DiseaseOrSyndrome	SUB	oewn-14532576-n
100216	DiseaseOrSyndrome	SUB	oewn-14532821-n
100217	DiseaseOrSyndrome	SUB	oewn-14532901-n
100218	NormativeAttribute	SUB	oewn-14533093-n
100219	NormativeAttribute	SUB	oewn-14533185-n
100220	Poisoning	EQ	oewn-14533314-n
100221	Poisoning	SUB	oewn-14533706-n
100222	Poisoning	SUB	oewn-14533849-n
100223	Poisoning	SUB	oewn-14534003-n
100224	Poisoning	SUB	oewn-14534250-n
100225	Poisoning	SUB	oewn-14534416-n
100226	DiseaseOrSyndrome	SUB	oewn-14534557-n
100227	Poisoning	SUB	oewn-14534836-n
100228	Poisoning	SUB	oewn-14535093-n
100229	Poisoning	SUB	oewn-14535332-n
10023	capability	SUB	oewn-00451818-r
100230	Poisoning	SUB	oewn-14535464-n
100231	Poisoning	SUB	oewn-14535611-n
100232	Poisoning	SUB	oewn-14535690-n
100233	Poisoning	SUB	oewn-14535872-n
100234	Poisoning	SUB	oewn-14536110-n
100235	Poisoning	SUB	oewn-14536276-n
100236	Proposition	SUB	oewn-14536419-n
100237	Region	SUB	oewn-14536664-n
100238	Region	SUB	oewn-14536861-n
100239	Region	SUB	oewn-14537091-n
10024	Removing	SUB	oewn-00451818-v
100241	Region	SUB	oewn-14537546-n
100242	SubjectiveAssessmentAttribute	SUB	oewn-14537641-n
100243	SubjectiveAssessmentAttribute	SUB	oewn-14537994-n
100244	SubjectiveAssessmentAttribute	SUB	oewn-14538093-n
100245	SubjectiveAssessmentAttribute	SUB	oewn-14538287-n
100246	SubjectiveAssessmentAttribute	SUB	oewn-14538407-n
100247	SubjectiveAssessmentAttribute	SUB	oewn-14538643-n
100248	SubjectiveAssessmentAttribute	SUB	oewn-14538779-n
100249	SubjectiveAssessmentAttribute	SUB	oewn-14538946-n
100250	SubjectiveAssessmentAttribute	SUB	oewn-14539065-n
100251	SubjectiveAssessmentAttribute	SUB	oewn-14539235-n
100252	SubjectiveAssessmentAttribute	SUB	oewn-14539418-n
100253	SubjectiveAssessmentAttribute	SUB	oewn-14539684-n
100254	SubjectiveAssessmentAttribute	SUB	oewn-14539858-n
100255	Attribute	SUB	oewn-14540103-n
100256	Pollution	EQ	oewn-14540345-n
100257	Attribute	SUB	oewn-14540669-n
100258	Attribute	SUB	oewn-14540845-n
